5,12,1452,7606,
5,12,1450,7699,
5,12,1447,7654,
5,12,1452,7818,
5,12,1449,7614,
5,12,1441,7584,
5,12,1574,7760,
5,12,1572,7599,
5,12,1465,7643,
5,12,1447,7684,
5,12,1448,7696,
5,12,1447,7688,
5,12,1445,7743,
5,12,1442,7537,
5,12,1457,7696,
7,9,1449,11380,
7,9,1437,11272,
7,9,1463,11097,
7,9,1455,11093,
7,9,1458,11055,
7,9,1451,11066,
7,9,1450,11066,
7,9,1449,11200,
7,9,1462,11209,
7,9,1457,10957,
7,9,1455,11174,
7,9,1469,11609,
7,9,1454,11077,
7,9,1565,11050,
7,9,1445,11072,
11,5,1266,18479,
11,5,1230,18581,
11,5,1240,18611,
11,5,1272,18689,
11,5,1253,18656,
11,5,1245,18383,
11,5,1242,18522,
11,5,1277,18618,
11,5,1277,18451,
11,5,1255,18626,
11,5,1282,18534,
11,5,1357,18427,
11,5,1247,18327,
11,5,1240,18269,
11,5,1223,18207,
13,4,1129,22555,
13,4,1048,22123,
13,4,1048,22478,
13,4,1015,22283,
13,4,1016,22352,
13,4,1062,22768,
13,4,1110,22236,
13,4,1022,22276,
13,4,1049,22879,
13,4,1240,22572,
13,4,1206,22225,
13,4,1030,22376,
13,4,1145,22361,
13,4,1122,22822,
13,4,1043,22320,
