5,12,0,1,1077,611,4282,
5,12,0,1,1062,588,4283,
5,12,0,2,1068,614,3612,
5,12,0,2,1061,577,3536,
5,12,0,3,1067,573,4284,
5,12,0,3,1080,585,4295,
5,12,0,4,1066,577,4017,
5,12,0,4,1059,583,4024,
5,12,1,2,1067,852,3749,
5,12,1,2,1070,1062,4039,
5,12,1,3,1064,842,4543,
5,12,1,3,1080,945,4570,
5,12,1,4,1065,839,4323,
5,12,1,4,1123,906,4320,
5,12,2,3,1069,987,3786,
5,12,2,3,1103,877,3854,
5,12,2,4,1187,945,3532,
5,12,2,4,1090,971,3542,
5,12,3,4,1144,890,4365,
5,12,3,4,1059,892,4358,
7,9,0,1,1366,912,7237,
7,9,0,1,1363,950,7212,
7,9,0,2,1372,886,7401,
7,9,0,2,1401,858,7386,
7,9,0,3,1378,914,5840,
7,9,0,3,1375,851,5782,
7,9,0,4,1400,839,7347,
7,9,0,4,1381,867,7321,
7,9,0,5,1384,864,7185,
7,9,0,5,1368,863,7157,
7,9,0,6,1380,922,7035,
7,9,0,6,1361,1011,7117,
7,9,1,2,1393,1180,7608,
7,9,1,2,1367,1089,7544,
7,9,1,3,1365,1156,5973,
7,9,1,3,1451,1107,5914,
7,9,1,4,1440,1132,7538,
7,9,1,4,1379,1101,7533,
7,9,1,5,1382,1250,7404,
7,9,1,5,1383,1139,7356,
7,9,1,6,1391,1116,7198,
7,9,1,6,1371,1106,7208,
7,9,2,3,1377,992,6223,
7,9,2,3,1364,1057,6196,
7,9,2,4,1419,1016,7758,
7,9,2,4,1358,977,7713,
7,9,2,5,1373,1105,7546,
7,9,2,5,1365,1049,7488,
7,9,2,6,1375,973,7414,
7,9,2,6,1362,1031,7369,
7,9,3,4,1402,1046,6184,
7,9,3,4,1365,964,6181,
7,9,3,5,1389,1023,6060,
7,9,3,5,1378,1066,5948,
7,9,3,6,1375,1008,5805,
7,9,3,6,1369,978,5793,
7,9,4,5,1359,971,7555,
7,9,4,5,1377,1004,7555,
7,9,4,6,1386,1092,7381,
7,9,4,6,1401,995,7378,
7,9,5,6,1410,1085,7078,
7,9,5,6,1366,1129,7125,
11,5,0,1,1772,1119,14064,
11,5,0,1,1831,1253,14109,
11,5,0,2,1839,1097,15300,
11,5,0,2,1837,1093,15329,
11,5,0,3,1840,1064,13969,
5,12,0,1,1175,574,4312,
5,12,0,1,1061,590,4271,
5,12,0,2,1098,591,3485,
5,12,0,2,1093,709,3601,
5,12,0,3,1113,575,4310,
5,12,0,3,1083,632,4354,
5,12,0,4,1121,626,4069,
5,12,0,4,1058,579,4037,
5,12,1,2,1157,853,3756,
5,12,1,2,1075,851,3760,
5,12,1,3,1064,1095,4554,
5,12,1,3,1157,840,4540,
5,12,1,4,1078,845,4280,
5,12,1,4,1066,854,4311,
5,12,2,3,1057,903,3771,
5,12,2,3,1074,850,3766,
5,12,2,4,1082,973,3519,
5,12,2,4,1130,890,3705,
5,12,3,4,1147,945,4322,
5,12,3,4,1150,898,4328,
7,9,0,1,1364,1047,7167,
7,9,0,1,1371,938,7161,
7,9,0,2,1359,1088,7489,
7,9,0,2,1472,845,7354,
7,9,0,3,1413,882,5840,
7,9,0,3,1389,857,5802,
7,9,0,4,1355,931,7728,
7,9,0,4,1364,891,7393,
7,9,0,5,1414,918,7151,
7,9,0,5,1376,1087,7189,
